FlightDate,Airline,Origin,Dest,ArrDelay,DepDelay,Cancelled,Distance
2018-03-18,B6,BWI,BOS,-24.0,-10.0,False,369.0

2018-11-06,B6,BOS,EWR,9.0,-10.0,False,200.0

2018-05-11,EV,TUL,IAH,-13.0,-10.0,False,429.0

2018-10-02,AS,LAX,PDX,-26.0,-10.0,False,834.0

2018-10-30,B6,TPA,BOS,6.0,-10.0,False,1185.0

2018-05-26,EV,AVP,EWR,-9.0,-10.0,False,93.0

2018-10-02,EM,LNY,HNL,0.0,-10.0,False,72.0

2018-11-08,B6,FLL,BDL,-19.0,-10.0,False,1173.0

2018-11-09,B6,BOS,CLE,-8.0,-10.0,False,563.0

2018-09-24,UA,MSY,IAH,-9.0,-10.0,False,305.0

2018-10-16,PT,PHL,CLE,9.0,-10.0,False,363.0

2018-04-12,DL,JFK,SEA,26.0,-10.0,False,2422.0

2018-05-07,F9,MCO,BHM,-3.0,-10.0,False,479.0

2018-10-31,AA,DFW,SNA,,-10.0,False,1205.0

2018-09-04,EV,IAH,LRD,-6.0,-10.0,False,301.0

2018-12-30,OO,ICT,DEN,-14.0,-10.0,False,420.0

2018-01-16,9E,MHT,LGA,-21.0,-10.0,False,195.0

2018-01-24,B6,DCA,TPA,-5.0,-10.0,False,814.0

2018-07-30,AS,LAX,ANC,-19.0,-10.0,False,2345.0

2018-07-05,OO,DAL,DCA,16.0,-10.0,False,1184.0

2018-11-08,DL,MCO,LGA,-32.0,-10.0,False,950.0

2018-03-13,AX,GUC,DEN,-28.0,-10.0,False,152.0

2018-10-16,9E,LGA,JAX,-9.0,-10.0,False,833.0

2018-05-15,UA,DFW,ORD,-9.0,-10.0,False,802.0

2018-09-10,AA,LAS,CLT,-17.0,-10.0,False,1916.0

2018-05-24,AX,ORD,FAR,-35.0,-10.0,False,557.0

2018-09-25,YX,MIA,BNA,-25.0,-10.0,False,806.0

2018-09-21,YX,LGA,CMH,-29.0,-10.0,False,479.0

2018-11-12,AS,LAX,BWI,-1.0,-10.0,False,2329.0

2018-11-10,EV,CRP,IAH,-23.0,-10.0,False,201.0

2018-01-05,UA,DEN,BOS,-19.0,-10.0,False,1754.0

2018-01-19,AS,SEA,STL,5.0,-10.0,False,1709.0

2018-04-24,AS,BNA,SEA,-41.0,-10.0,False,1978.0

2018-09-13,AA,MIA,DCA,-29.0,-10.0,False,919.0

2018-12-08,CP,SEA,FAI,-34.0,-10.0,False,1533.0

2018-09-23,AX,RDU,DCA,-19.0,-10.0,False,227.0

2018-12-12,YX,LGA,RDU,-31.0,-10.0,False,431.0

2018-04-28,OO,ORD,PAH,-28.0,-10.0,False,342.0

2018-11-14,EV,GRK,IAH,-29.0,-10.0,False,166.0

2018-01-29,9E,BUF,BOS,-19.0,-10.0,False,395.0

2018-03-07,UA,ORD,TPA,-16.0,-10.0,False,1012.0

2018-09-22,OO,SLC,WYS,-18.0,-10.0,False,273.0

2018-10-01,AX,SGF,DEN,-4.0,-10.0,False,637.0

2018-09-01,B6,ROC,JFK,-7.0,-10.0,False,264.0

2018-04-17,OO,BOI,SFO,-3.0,-10.0,False,522.0

2018-09-20,MQ,LGA,RDU,-24.0,-10.0,False,431.0

2018-03-11,B6,PBI,EWR,-17.0,-10.0,False,1023.0

2018-11-03,EV,OKC,IAH,-12.0,-10.0,False,395.0

2018-03-19,B6,MCO,SJU,14.0,-10.0,False,1189.0

2018-04-03,UA,MCO,IAD,-8.0,-10.0,False,758.0

2018-09-22,OO,SBN,DTW,3.0,-10.0,False,157.0

2018-04-01,B6,BOS,CLT,-16.0,-10.0,False,728.0

2018-01-25,ZW,RST,ORD,1.0,-10.0,False,268.0

2018-09-20,OO,CHA,DTW,-16.0,-10.0,False,505.0

2018-10-03,UA,MFE,IAH,-20.0,-10.0,False,316.0

2018-12-10,MQ,MEM,ORD,-14.0,-10.0,False,491.0

2018-10-23,G7,DAY,DTW,-19.0,-10.0,False,166.0

2018-10-16,OO,DEN,BFF,-22.0,-10.0,False,150.0

2018-11-05,ZW,CWA,ORD,-15.0,-10.0,False,213.0

2018-04-06,B6,HPN,RSW,-17.0,-10.0,False,1102.0

2018-09-09,OH,DCA,ALB,-19.0,-10.0,False,318.0

2018-05-24,OO,LGA,DAL,-16.0,-10.0,False,1381.0

2018-09-03,AX,DEN,TYS,14.0,-10.0,False,1162.0

2018-05-03,EV,IAH,CRP,-20.0,-10.0,False,201.0

